Tree Number,Survey date,Location,Rep,Plot,Subplot,Treat,Tree cover (%),Cover,Tree #,Year planted,Genotype,Staple flag,Plastic marker,Staple paint,Species,Basal diam (mm),Height (cm),Crown diameter1 (cm),Crown diameter2 (cm) ,Avg crown diam (cm),Condition,Damage & notes,,,,
1,2021-AUG-08,Alex Fraser,1,ICH1,1B,30Ret,35,under canopy,no trees,2020,,,,,,,,,,,,,,,,
2,2021-AUG-08,Alex Fraser,1,ICH1,1C,30Ret,0,open,1,2020,Alex Fraser future Fd,pink & blue,,,Fd,2.1,20,19,9,14,N,drought,,,,
3,2021-AUG-08,Alex Fraser,1,ICH1,1D,30Ret,0,open,no trees,2020,,,,,,,,,,,,,,,,
4,2021-AUG-08,Alex Fraser,1,ICH1,1E,30Ret,0,open,no trees,2020,,,,,,,,,,,,,,,,
5,2021-AUG-08,Alex Fraser,1,ICH1,1F,30Ret,0,open,no trees/ not planted,2020,,,,,,,,,,,,,,,,
6,2021-AUG-08,Alex Fraser,1,ICH1,1G,30Ret,0,open,no trees,2020,,,,,,,,,,,,,,,,
7,2021-AUG-08,Alex Fraser,1,ICH1,1H,30Ret,30,partial,2,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,,,,,,D,,,,,
8,2021-AUG-08,Alex Fraser,1,ICH1,1H,30Ret,30,partial,1,2020,Alex Fraser future Fd,pink & blue,,,Fd,,,,,,D,,,,,
9,2021-AUG-08,Alex Fraser,1,ICH1,1I,30Ret,0,partial,no trees/ not planted,2020,,,,,,,,,,,,,,,,
10,2021-AUG-08,Alex Fraser,1,ICH1,2A,30Ret,20,partial,4,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,3.5,26,16,12,14,G,,,,,
11,2021-AUG-08,Alex Fraser,1,ICH1,2A,30Ret,20,partial,3,2020,Alex Fraser future Fd,pink & blue,,,Fd,,,,,,D,,,,,
12,2021-AUG-08,Alex Fraser,1,ICH1,2A,30Ret,20,partial,1,2020,John Prince B class Fd,pink polka,,,Fd,,,,,,D,,,,,
13,2021-AUG-08,Alex Fraser,1,ICH1,2A,30Ret,20,partial,2,2020,Lodgepole pine,blue & green,,,Pl,2.9,16,9,6,7.5,G,,,,,
14,2021-AUG-08,Alex Fraser,1,ICH1,2A #2,30Ret,50,partial,3,2020,John Prince B class Fd,pink polka,,,Fd,2.8,9,5,3,4,N,browsed top,,,,
15,2021-AUG-08,Alex Fraser,1,ICH1,2A #2,30Ret,50,partial,5,2020,John Prince B class Fd,pink polka,,,Fd,1.8,8,6,6,6,N,browsed top,,,,
16,2021-AUG-08,Alex Fraser,1,ICH1,2A #2,30Ret,50,partial,1,2020,Peterhope B class Fd,pink,,,Fd,2.8,12,12,10,11,M,"browed top, frost",,,,
17,2021-AUG-08,Alex Fraser,1,ICH1,2A #2,30Ret,50,partial,2,2020,Venables B class Fd,white & red stripe,,,Fd,,,,,,D,,,,,
18,2021-AUG-08,Alex Fraser,1,ICH1,2A #2,30Ret,50,partial,4,2020,Venables B class Fd,white & red stripe,,,Fd,,,,,,D,,,,,
19,2021-AUG-08,Alex Fraser,1,ICH1,2B,30Ret,15,partial,2,2020,Alex Fraser future Fd,pink & blue,,,Fd,,,,,,D,,,,,
20,2021-AUG-08,Alex Fraser,1,ICH1,2B,30Ret,15,partial,1,2020,Lodgepole pine,blue & green,,,Pl,,,,,,D,,,,,
21,2021-AUG-08,Alex Fraser,1,ICH1,2C,30Ret,40,partial,4,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,2.5,17,10,5,7.5,M,browsed top,,,,
22,2021-AUG-08,Alex Fraser,1,ICH1,2C,30Ret,40,partial,1,2020,Alex Fraser future Fd,pink & blue,,,Fd,,,,,,D,,,,,
23,2021-AUG-08,Alex Fraser,1,ICH1,2C,30Ret,40,partial,2,2020,John Prince B class Fd,pink polka,,,Fd,3.1,8,9,6,7.5,P,"frost, veg",,,,
24,2021-AUG-08,Alex Fraser,1,ICH1,2C,30Ret,40,partial,3,2020,Venables future Fd,pink & orange,,,Fd,,,,,,D,,,,,
25,2021-AUG-08,Alex Fraser,1,ICH1,2D,30Ret,30,partial,1,2020,Alex Fraser future Fd,pink & blue,,,Fd,,,,,,D,,,,,
26,2021-AUG-08,Alex Fraser,1,ICH1,2E,30Ret,0,open,1,2020,Peterhope B class Fd,pink,,,Fd,,,,,,D,,,,,
27,2021-AUG-08,Alex Fraser,1,ICH1,2F,30Ret,0,open,3,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,5.5,23,13,9,11,G,,,,,
